image,predicted,true
184.jpg,16.00,16.95
185.jpg,14.00,11.69
186.jpg,70.00,78.45
187.jpg,18.82,19.35
188.jpg,29.50,30.32
189.jpg,32.00,26.77
19.jpg,59.00,75.32
190.jpg,24.00,32.38
191.jpg,31.54,33.12
192.jpg,37.00,45.54
193.jpg,28.00,26.17
194.jpg,31.54,25.47
195.jpg,29.50,21.50
196.jpg,36.65,26.61
197.jpg,59.00,28.81
198.jpg,60.20,52.59
199.jpg,29.50,20.74
2.jpg,53.33,70.97
20.jpg,41.00,59.63
200.jpg,21.33,17.19
201.jpg,26.45,23.73
202.jpg,10.00,13.93
203.jpg,31.54,23.38
204.jpg,70.00,70.97
205.jpg,90.10,70.21
206.jpg,21.33,17.63
207.jpg,60.20,36.00
208.jpg,90.10,73.78
209.jpg,70.91,82.39
21.jpg,24.00,24.39
210.jpg,59.00,42.61
211.jpg,59.00,48.33
212.jpg,43.00,48.15
213.jpg,21.00,63.50
214.jpg,37.00,58.28
215.jpg,32.00,24.84
216.jpg,21.33,18.90
217.jpg,33.08,30.41
218.jpg,31.58,26.61
219.jpg,32.00,36.00
22.jpg,60.38,52.05
220.jpg,61.67,45.24
221.jpg,64.00,45.63
222.jpg,24.29,23.08
223.jpg,71.35,85.35
224.jpg,90.10,81.86
225.jpg,73.98,80.61
226.jpg,73.98,75.74
227.jpg,77.23,73.60
228.jpg,60.20,39.81
229.jpg,36.65,21.84
23.jpg,17.00,12.99
230.jpg,59.00,46.10
231.jpg,60.00,49.12
232.jpg,59.00,44.38
233.jpg,60.20,44.76
234.jpg,59.00,49.68
235.jpg,60.56,60.80
236.jpg,58.57,31.76
237.jpg,28.00,29.00
238.jpg,32.00,45.28
24.jpg,53.33,38.19
240.jpg,16.00,15.00
241.jpg,32.00,21.95
242.jpg,60.20,56.82
243.jpg,72.00,70.55
244.jpg,72.00,61.61
245.jpg,41.00,20.85
246.jpg,59.00,34.21
247.jpg,59.00,42.08
248.jpg,28.00,34.40
249.jpg,31.54,37.68
25.jpg,35.00,46.43
250.jpg,23.33,28.79
251.jpg,34.40,36.24
252.jpg,32.00,36.43
253.jpg,60.00,46.79
254.jpg,44.00,45.84
255.jpg,59.00,44.72
256.jpg,60.20,55.84
257.jpg,70.00,72.87
258.jpg,73.98,73.47
259.jpg,37.00,40.16
26.jpg,41.00,28.05
260.jpg,24.00,38.82
261.jpg,80.00,73.17
262.jpg,11.54,16.83
263.jpg,16.00,14.74
264.jpg,9.00,14.15
265.jpg,14.00,15.83
266.jpg,11.00,12.84
267.jpg,13.60,16.98
268.jpg,14.00,18.52
269.jpg,20.00,23.86
27.jpg,28.77,33.33
270.jpg,12.00,15.12
271.jpg,11.00,11.58
272.jpg,24.00,29.11
273.jpg,21.00,26.05
274.jpg,30.83,33.33
275.jpg,29.37,27.78
276.jpg,5.71,10.22
277.jpg,4.67,7.24
278.jpg,5.00,5.38
279.jpg,14.00,14.29
28.jpg,60.20,61.29
280.jpg,16.00,16.82
281.jpg,18.00,21.37
282.jpg,26.45,25.00
283.jpg,9.00,6.82
284.jpg,20.00,28.35
285.jpg,11.00,12.32
286.jpg,21.00,24.78
287.jpg,22.86,23.87
288.jpg,59.00,47.32
289.jpg,25.45,25.69
29.jpg,7.00,5.15
290.jpg,19.09,20.63
291.jpg,11.00,11.71
292.jpg,7.00,13.59
293.jpg,32.00,32.67
294.jpg,9.00,11.02
295.jpg,9.00,10.09
296.jpg,14.00,18.35
297.jpg,9.00,13.76
298.jpg,32.00,27.93
299.jpg,9.29,12.41
3.jpg,40.00,82.05
30.jpg,72.00,48.80
300.jpg,8.00,10.89
301.jpg,9.00,9.42
302.jpg,10.00,15.89
303.jpg,16.15,17.14
304.jpg,9.00,12.60
305.jpg,66.00,53.75
306.jpg,60.00,46.77
307.jpg,70.00,45.96
308.jpg,66.00,41.00
309.jpg,12.00,11.57
31.jpg,59.00,39.43
310.jpg,10.50,11.21
311.jpg,65.56,38.55
312.jpg,60.20,36.75
313.jpg,59.00,47.52
314.jpg,38.52,33.12
315.jpg,28.00,24.83
316.jpg,32.00,24.40
317.jpg,16.00,29.63
318.jpg,21.00,19.83
319.jpg,34.17,35.76
32.jpg,55.38,33.69
320.jpg,13.00,11.54
321.jpg,21.00,24.29
322.jpg,29.50,27.66
323.jpg,18.00,21.13
324.jpg,14.00,19.19
325.jpg,28.00,32.14
326.jpg,34.17,36.99
327.jpg,59.00,40.72
328.jpg,41.00,46.31
329.jpg,59.00,36.90
33.jpg,59.00,29.11
330.jpg,39.33,34.69
331.jpg,41.00,42.96
332.jpg,16.00,13.71
333.jpg,15.00,21.59
334.jpg,9.00,8.26
335.jpg,9.00,12.07
336.jpg,30.00,34.21
337.jpg,25.71,34.72
338.jpg,35.00,62.50
339.jpg,59.00,54.65
34.jpg,32.00,31.62
340.jpg,90.10,71.14
341.jpg,1.00,0.85
342.jpg,2.67,3.39
343.jpg,5.00,4.50
344.jpg,10.74,12.00
345.jpg,9.00,9.85
346.jpg,8.00,10.58
347.jpg,9.00,8.50
348.jpg,14.00,9.91
349.jpg,7.00,11.39
35.jpg,28.00,30.25
350.jpg,13.00,16.39
351.jpg,8.00,6.45
352.jpg,18.00,17.56
353.jpg,35.56,48.05
354.jpg,24.00,33.33
355.jpg,32.00,51.06
356.jpg,14.00,21.52
357.jpg,20.00,20.48
358.jpg,31.54,48.55
359.jpg,37.33,34.94
36.jpg,24.00,18.90
360.jpg,43.00,54.46
361.jpg,12.00,20.71
362.jpg,13.00,25.81
363.jpg,14.00,12.82
364.jpg,11.00,15.13
365.jpg,21.82,16.96
366.jpg,23.33,26.03
368.jpg,9.33,13.07
369.jpg,9.33,10.66
37.jpg,29.50,23.17
370.jpg,7.00,7.39
371.jpg,4.96,6.57
372.jpg,1.33,1.53
374.jpg,9.00,13.62
375.jpg,10.00,9.57
376.jpg,6.38,6.48
377.jpg,9.00,6.58
378.jpg,0.00,0.00
379.jpg,0.62,0.00
38.jpg,26.25,24.37
380.jpg,1.33,1.05
381.jpg,0.67,0.91
382.jpg,5.38,6.31
383.jpg,4.00,4.39
384.jpg,6.43,5.59
385.jpg,6.00,2.39
386.jpg,3.33,3.74
387.jpg,3.00,2.59
388.jpg,12.00,11.55
389.jpg,10.50,17.97
39.jpg,22.67,20.19
390.jpg,20.00,20.35
391.jpg,10.50,9.00
392.jpg,29.50,30.83
393.jpg,12.00,9.06
394.jpg,9.00,6.48
395.jpg,10.50,8.60
396.jpg,17.83,15.26
397.jpg,29.50,20.82
398.jpg,12.00,11.01
399.jpg,20.50,14.56
4.jpg,60.56,78.05
40.jpg,24.38,13.56
400.jpg,7.00,6.93
401.jpg,4.50,3.63
41.jpg,22.86,14.01
42.jpg,17.50,13.15
43.jpg,21.33,16.25
44.jpg,32.00,25.00
45.jpg,32.00,22.45
46.jpg,37.00,36.30
47.jpg,32.00,32.12
48.jpg,21.00,24.32
49.jpg,59.00,28.57
5.jpg,60.20,50.00
50.jpg,59.00,61.88
51.jpg,60.20,58.78
52.jpg,72.84,73.00
53.jpg,70.00,73.57
54.jpg,70.91,73.14
55.jpg,40.00,39.39
56.jpg,32.00,39.45
57.jpg,60.20,56.69
58.jpg,72.84,37.36
59.jpg,59.00,45.09
6.jpg,73.75,56.62
60.jpg,59.00,55.10
61.jpg,59.00,58.38
62.jpg,70.00,52.74
63.jpg,72.00,58.72
64.jpg,34.67,28.04
65.jpg,31.54,23.89
66.jpg,24.00,21.47
67.jpg,33.08,26.34
68.jpg,26.25,33.33
69.jpg,14.00,13.33
7.jpg,41.00,72.22
70.jpg,59.00,33.83
71.jpg,32.00,36.47
72.jpg,32.00,45.10
73.jpg,21.00,30.00
74.jpg,59.00,34.35
75.jpg,28.00,42.50
76.jpg,59.00,33.03
77.jpg,60.67,37.42
78.jpg,60.67,44.53
79.jpg,37.00,39.66
8.jpg,60.20,65.83
80.jpg,28.00,27.59
81.jpg,24.00,30.63
82.jpg,34.17,24.57
83.jpg,28.00,18.37
84.jpg,26.25,21.80
85.jpg,24.00,21.54
86.jpg,32.00,23.72
87.jpg,32.00,38.33
88.jpg,70.00,85.29
89.jpg,72.84,73.40
9.jpg,21.00,34.25
90.jpg,59.00,79.12
91.jpg,37.00,47.95
92.jpg,60.20,49.65
93.jpg,59.00,53.90
94.jpg,60.20,63.03
95.jpg,63.08,59.81
96.jpg,60.20,66.67
97.jpg,59.00,67.77
98.jpg,59.00,66.41
99.jpg,70.00,41.00
161.jpg,29.00,26.19
162.jpg,72.00,61.60
166.jpg,12.00,15.79
239.jpg,62.65,37.65
367.jpg,0.00,0.00
373.jpg,9.00,13.03
