image:p10_0036_3.jpg, predicted:50.00, true:55.45
image:p14_0035_3.jpg, predicted:18.00, true:7.41
image:p14_0040_11.jpg, predicted:20.00, true:10.53
image:p14_0043_1.jpg, predicted:43.33, true:2.08
image:p14_0049_9.jpg, predicted:28.00, true:2.94
image:p14_0052_10.jpg, predicted:3.23, true:3.57
image:p14_0055_6.jpg, predicted:34.55, true:31.11
image:p14_0057_11.jpg, predicted:19.31, true:1.75
image:p14_0059_7.jpg, predicted:33.33, true:25.45
image:p14_0059_9.jpg, predicted:33.33, true:23.64
image:p14_0060_11.jpg, predicted:28.00, true:0.00
image:p14_0071_11.jpg, predicted:52.00, true:15.31
image:p14_0074_8.jpg, predicted:38.00, true:24.62
image:p14_0083_9.jpg, predicted:37.50, true:14.29
image:p15_0001_6.jpg, predicted:37.60, true:38.20
image:p15_0002_1.jpg, predicted:52.00, true:45.35
image:p15_0007_2.jpg, predicted:18.00, true:12.50
image:p15_0008_10.jpg, predicted:14.29, true:26.09
image:p15_0008_8.jpg, predicted:28.00, true:16.36
image:p15_0010_8.jpg, predicted:31.11, true:44.44
image:p15_0013_2.jpg, predicted:36.36, true:32.00
image:p15_0013_6.jpg, predicted:44.44, true:53.85
image:p15_0014_10.jpg, predicted:23.08, true:28.00
image:p15_0014_11.jpg, predicted:22.50, true:23.81
image:p15_0014_5.jpg, predicted:56.00, true:71.43
image:p15_0015_6.jpg, predicted:30.71, true:37.97
image:p15_0016_10.jpg, predicted:40.00, true:37.14
image:p15_0019_6.jpg, predicted:1.41, true:11.11
image:p15_0020_2.jpg, predicted:55.83, true:52.94
image:p15_0022_6.jpg, predicted:20.00, true:29.41
image:p15_0025_3.jpg, predicted:40.00, true:22.22
image:p15_0026_5.jpg, predicted:3.70, true:8.00
image:p15_0026_8.jpg, predicted:26.00, true:19.09
image:p15_0027_6.jpg, predicted:39.00, true:41.03
image:p15_0028_2.jpg, predicted:48.15, true:46.88
image:p15_0028_7.jpg, predicted:59.46, true:52.63
image:p15_0029_10.jpg, predicted:31.11, true:40.00
image:p15_0029_5.jpg, predicted:51.54, true:47.54
image:p15_0030_11.jpg, predicted:30.71, true:20.59
image:p15_0031_10.jpg, predicted:20.29, true:2.94
image:p15_0035_7.jpg, predicted:40.21, true:40.38
image:p15_0035_9.jpg, predicted:20.00, true:3.03
image:p15_0038_11.jpg, predicted:52.00, true:40.26
image:p15_0038_3.jpg, predicted:65.00, true:67.05
image:p15_0039_3.jpg, predicted:55.83, true:60.42
image:p15_0039_6.jpg, predicted:51.54, true:59.02
image:p15_0040_8.jpg, predicted:38.36, true:62.16
image:p15_0044_5.jpg, predicted:52.00, true:36.73
image:p16_0327_2.jpg, predicted:28.00, true:57.89
image:p16_0327_5.jpg, predicted:62.67, true:76.60
image:p16_0330_1.jpg, predicted:20.29, true:24.32
image:p16_0335_1.jpg, predicted:32.08, true:18.75
image:p16_0343_2.jpg, predicted:30.71, true:0.00
image:p16_0343_6.jpg, predicted:30.95, true:33.00
image:p16_0346_1.jpg, predicted:24.44, true:17.46
image:p16_0346_10.jpg, predicted:33.33, true:33.78
image:p16_0350_10.jpg, predicted:52.00, true:59.62
image:p16_0353_4.jpg, predicted:28.00, true:16.39
image:p16_0354_2.jpg, predicted:28.00, true:20.00
image:p16_0355_6.jpg, predicted:24.44, true:57.14
image:p16_0356_10.jpg, predicted:22.50, true:20.00
image:p16_0359_3.jpg, predicted:33.33, true:79.17
image:p16_0360_2.jpg, predicted:31.11, true:20.00
image:p16_0361_7.jpg, predicted:30.95, true:70.97
image:p16_0363_2.jpg, predicted:28.00, true:38.71
image:p16_0369_3.jpg, predicted:30.95, true:25.00
image:p16_0375_3.jpg, predicted:34.55, true:12.00
image:p16_0376_11.jpg, predicted:32.50, true:36.11
image:p16_0376_7.jpg, predicted:40.00, true:27.70
image:p16_0379_2.jpg, predicted:24.84, true:4.88
image:p16_0379_6.jpg, predicted:14.89, true:3.12
image:p16_0387_1.jpg, predicted:20.00, true:0.00
image:p16_0389_3.jpg, predicted:30.95, true:17.65
image:p16_0390_6.jpg, predicted:33.33, true:40.74
image:p16_0390_7.jpg, predicted:28.00, true:17.78
image:p17_0185_6.jpg, predicted:55.83, true:77.50
image:p17_0186_5.jpg, predicted:43.33, true:55.38
image:p17_0189_6.jpg, predicted:78.00, true:56.60
image:p17_0190_7.jpg, predicted:65.00, true:59.68
image:p17_0192_6.jpg, predicted:78.67, true:34.38
image:p17_0195_2.jpg, predicted:52.00, true:42.37
image:p17_0195_5.jpg, predicted:28.00, true:12.22
image:p17_0196_10.jpg, predicted:37.14, true:55.00
image:p17_0196_11.jpg, predicted:33.33, true:19.70
image:p17_0198_5.jpg, predicted:55.71, true:71.70
image:p17_0202_8.jpg, predicted:32.43, true:33.33
image:p17_0206_5.jpg, predicted:78.00, true:50.00
image:p17_0206_7.jpg, predicted:52.00, true:67.50
image:p17_0206_9.jpg, predicted:40.21, true:57.89
image:p17_0207_2.jpg, predicted:51.00, true:63.64
image:p17_0207_6.jpg, predicted:41.05, true:41.30
image:p17_0207_7.jpg, predicted:32.50, true:44.74
image:p17_0208_9.jpg, predicted:78.67, true:43.28
image:p17_0209_6.jpg, predicted:32.50, true:64.29
image:p17_0211_10.jpg, predicted:52.00, true:25.86
image:p17_0213_9.jpg, predicted:65.00, true:61.76
image:p17_0215_6.jpg, predicted:30.71, true:55.88
image:p17_0216_3.jpg, predicted:52.00, true:58.54
image:p17_0216_5.jpg, predicted:54.38, true:52.00
image:p17_0218_1.jpg, predicted:38.29, true:57.14
image:p17_0218_6.jpg, predicted:52.00, true:47.06
image:p17_0219_7.jpg, predicted:76.99, true:65.85
image:p17_0220_10.jpg, predicted:51.00, true:64.29
image:p17_0222_7.jpg, predicted:78.00, true:50.00
image:p17_0223_10.jpg, predicted:52.00, true:38.24
image:p17_0225_9.jpg, predicted:42.22, true:19.05
image:p18_0002_11.jpg, predicted:43.33, true:15.43
image:p18_0006_7.jpg, predicted:33.77, true:42.86
image:p18_0007_10.jpg, predicted:43.33, true:41.67
image:p18_0014_5.jpg, predicted:52.00, true:32.00
image:p18_0015_8.jpg, predicted:52.00, true:38.66
image:p18_0018_9.jpg, predicted:14.29, true:3.70
image:p18_0020_1.jpg, predicted:16.67, true:8.45
image:p18_0021_5.jpg, predicted:37.14, true:50.00
image:p18_0021_6.jpg, predicted:37.14, true:24.63
image:p18_0023_2.jpg, predicted:30.71, true:27.12
image:p18_0023_7.jpg, predicted:28.00, true:21.21
image:p18_0028_5.jpg, predicted:43.33, true:34.57
image:p18_0030_7.jpg, predicted:36.96, true:28.12
image:p18_0037_3.jpg, predicted:46.21, true:29.35
image:p18_0038_10.jpg, predicted:59.00, true:28.66
image:p18_0040_10.jpg, predicted:40.00, true:10.53
image:p18_0045_10.jpg, predicted:51.00, true:26.92
image:p18_0050_2.jpg, predicted:59.00, true:45.04
image:p18_0050_3.jpg, predicted:52.00, true:38.00
image:p18_0050_5.jpg, predicted:52.00, true:52.33
image:p18_0053_7.jpg, predicted:55.83, true:37.50
image:p18_0054_1.jpg, predicted:52.00, true:44.14
image:p18_0064_6.jpg, predicted:28.00, true:35.00
image:p18_0071_1.jpg, predicted:52.00, true:30.34
image:p18_0140_1.jpg, predicted:51.54, true:24.35
image:p18_0148_6.jpg, predicted:33.33, true:37.70
image:p19_0108_4.jpg, predicted:52.00, true:10.00
image:p19_0108_6.jpg, predicted:33.33, true:12.50
image:p19_0108_7.jpg, predicted:52.00, true:25.71
image:p19_0109_2.jpg, predicted:32.50, true:13.53
image:p19_0109_5.jpg, predicted:28.00, true:7.83
image:p19_0109_7.jpg, predicted:30.00, true:11.43
image:p19_0109_9.jpg, predicted:26.00, true:9.42
image:p19_0110_2.jpg, predicted:32.50, true:18.31
image:p19_0110_6.jpg, predicted:32.08, true:14.16
image:p19_0112_7.jpg, predicted:26.00, true:6.86
image:p19_0113_10.jpg, predicted:19.18, true:5.31
image:p19_0113_11.jpg, predicted:14.29, true:20.00
image:p19_0113_3.jpg, predicted:20.74, true:18.18
image:p19_0113_9.jpg, predicted:30.71, true:0.00
image:p19_0114_3.jpg, predicted:20.29, true:0.00
image:p19_0114_5.jpg, predicted:29.47, true:0.00
image:p19_0114_8.jpg, predicted:24.44, true:0.00
image:p19_0115_7.jpg, predicted:13.24, true:9.09
image:p19_0117_7.jpg, predicted:32.08, true:0.00
image:p1_0299_1.jpg, predicted:37.22, true:17.30
image:p1_0299_10.jpg, predicted:14.89, true:0.00
image:p1_0299_5.jpg, predicted:30.00, true:18.95
image:p1_0299_9.jpg, predicted:39.00, true:13.94
image:p1_0300_2.jpg, predicted:30.95, true:15.62
image:p1_0309_10.jpg, predicted:14.29, true:4.41
image:p1_0309_9.jpg, predicted:20.74, true:3.75
image:p1_0310_7.jpg, predicted:20.74, true:28.57
image:p1_0313_1.jpg, predicted:13.33, true:4.43
image:p1_0313_3.jpg, predicted:18.67, true:5.06
image:p1_0315_7.jpg, predicted:20.74, true:5.10
image:p1_0317_1.jpg, predicted:30.71, true:20.29
image:p1_0317_10.jpg, predicted:20.74, true:7.34
image:p1_0317_6.jpg, predicted:19.18, true:12.00
image:p1_0317_7.jpg, predicted:26.00, true:15.94
image:p1_0319_1.jpg, predicted:30.95, true:20.69
image:p1_0321_7.jpg, predicted:30.00, true:10.00
image:p1_0322_7.jpg, predicted:47.00, true:23.53
image:p20_0068_11.jpg, predicted:37.50, true:23.46
image:p20_0071_10.jpg, predicted:51.32, true:33.67
image:p20_0074_8.jpg, predicted:30.71, true:21.48
image:p20_0075_12.jpg, predicted:20.74, true:8.39
image:p20_0076_8.jpg, predicted:30.71, true:21.01
image:p20_0078_9.jpg, predicted:46.15, true:25.34
image:p20_0079_12.jpg, predicted:38.29, true:35.11
image:p20_0079_5.jpg, predicted:51.54, true:41.94
image:p20_0081_5.jpg, predicted:30.71, true:24.79
image:p20_0081_6.jpg, predicted:37.14, true:36.54
image:p20_0083_6.jpg, predicted:32.00, true:23.73
image:p20_0085_2.jpg, predicted:37.14, true:29.91
image:p20_0085_8.jpg, predicted:26.00, true:18.97
image:p20_0087_9.jpg, predicted:30.00, true:20.57
image:p20_0089_10.jpg, predicted:18.67, true:11.11
image:p20_0089_7.jpg, predicted:12.00, true:5.08
image:p20_0094_12.jpg, predicted:41.49, true:22.17
image:p20_0094_8.jpg, predicted:30.71, true:26.32
image:p20_0096_9.jpg, predicted:52.00, true:26.61
image:p20_0097_12.jpg, predicted:50.00, true:25.61
image:p20_0098_6.jpg, predicted:38.29, true:32.76
image:p20_0099_12.jpg, predicted:28.00, true:14.89
image:p20_0099_5.jpg, predicted:28.00, true:11.04
image:p20_0100_8.jpg, predicted:28.00, true:12.58
image:p20_0101_12.jpg, predicted:20.74, true:20.19
image:p20_0102_11.jpg, predicted:39.80, true:21.28
image:p20_0108_11.jpg, predicted:46.21, true:23.66
image:p20_0108_12.jpg, predicted:37.14, true:17.57
image:p20_0112_12.jpg, predicted:46.21, true:35.35
image:p20_0113_10.jpg, predicted:28.00, true:10.56
image:p20_0120_11.jpg, predicted:27.86, true:26.09
image:p20_0120_5.jpg, predicted:52.00, true:40.62
image:p20_0120_6.jpg, predicted:46.21, true:33.07
image:p20_0120_8.jpg, predicted:50.00, true:46.53
image:p20_0121_12.jpg, predicted:38.29, true:35.66
image:p20_0122_10.jpg, predicted:30.71, true:24.79
image:p20_0127_7.jpg, predicted:52.00, true:21.83
image:p20_0128_6.jpg, predicted:30.71, true:28.16
image:p20_0130_3.jpg, predicted:9.84, true:12.50
image:p20_0134_4.jpg, predicted:32.50, true:24.53
image:p20_0135_6.jpg, predicted:52.00, true:20.67
image:p20_0135_8.jpg, predicted:50.65, true:36.42
image:p20_0139_1.jpg, predicted:40.00, true:25.95
image:p20_0139_10.jpg, predicted:46.21, true:37.01
image:p20_0143_4.jpg, predicted:28.00, true:13.79
image:p20_0143_8.jpg, predicted:46.21, true:30.28
image:p20_0149_11.jpg, predicted:30.71, true:24.58
image:p20_0149_4.jpg, predicted:52.00, true:52.17
image:p20_0149_5.jpg, predicted:52.00, true:40.62
image:p20_0152_11.jpg, predicted:52.00, true:40.15
image:p20_0154_8.jpg, predicted:51.54, true:29.08
image:p20_0162_7.jpg, predicted:30.71, true:20.29
image:p20_0167_6.jpg, predicted:52.00, true:33.98
image:p20_0173_10.jpg, predicted:46.21, true:24.26
image:p20_0173_4.jpg, predicted:37.14, true:31.40
image:p20_0175_10.jpg, predicted:52.00, true:34.55
image:p20_0176_11.jpg, predicted:33.33, true:26.58
image:p20_0176_7.jpg, predicted:52.00, true:28.71
image:p20_0179_7.jpg, predicted:40.00, true:27.84
image:p20_0180_2.jpg, predicted:55.71, true:46.49
image:p20_0182_2.jpg, predicted:46.21, true:44.75
image:p21_0247_5.jpg, predicted:55.83, true:61.19
image:p21_0248_9.jpg, predicted:32.00, true:81.82
image:p21_0252_11.jpg, predicted:39.00, true:60.53
image:p21_0253_4.jpg, predicted:50.00, true:41.51
image:p21_0253_5.jpg, predicted:22.50, true:64.29
image:p21_0253_6.jpg, predicted:16.67, true:36.36
image:p21_0254_10.jpg, predicted:33.33, true:83.33
image:p21_0254_6.jpg, predicted:39.00, true:80.00
image:p21_0254_9.jpg, predicted:53.33, true:75.86
image:p21_0255_10.jpg, predicted:56.00, true:85.71
image:p21_0255_2.jpg, predicted:28.00, true:80.00
image:p21_0256_6.jpg, predicted:39.13, true:55.56
image:p21_0257_10.jpg, predicted:24.44, true:80.00
image:p21_0257_2.jpg, predicted:24.35, true:100.00
image:p21_0260_5.jpg, predicted:22.50, true:75.00
image:p21_0260_6.jpg, predicted:20.00, true:64.29
image:p21_0260_9.jpg, predicted:32.84, true:55.00
image:p21_0261_6.jpg, predicted:49.12, true:58.06
image:p21_0268_6.jpg, predicted:54.38, true:46.81
image:p21_0268_9.jpg, predicted:52.00, true:67.31
image:p21_0271_2.jpg, predicted:30.00, true:75.00
image:p22_0004_6.jpg, predicted:51.54, true:73.68
image:p22_0006_5.jpg, predicted:59.09, true:85.00
image:p22_0007_6.jpg, predicted:51.00, true:86.11
image:p22_0009_7.jpg, predicted:26.00, true:41.30
image:p22_0011_2.jpg, predicted:26.00, true:29.76
image:p22_0012_5.jpg, predicted:19.18, true:100.00
image:p22_0013_11.jpg, predicted:40.00, true:48.39
image:p22_0013_2.jpg, predicted:52.00, true:77.14
image:p22_0013_6.jpg, predicted:52.00, true:70.93
image:p22_0016_2.jpg, predicted:39.00, true:49.02
image:p22_0016_6.jpg, predicted:52.00, true:72.73
image:p22_0016_7.jpg, predicted:52.00, true:61.80
image:p22_0018_2.jpg, predicted:38.29, true:42.86
image:p22_0019_3.jpg, predicted:66.67, true:75.00
image:p22_0019_7.jpg, predicted:40.21, true:51.61
image:p22_0022_11.jpg, predicted:51.32, true:70.27
image:p22_0022_7.jpg, predicted:58.21, true:72.09
image:p22_0024_8.jpg, predicted:52.00, true:8.57
image:p22_0025_3.jpg, predicted:26.00, true:13.79
image:p22_0026_8.jpg, predicted:31.11, true:60.00
image:p22_0027_10.jpg, predicted:30.00, true:50.00
image:p22_0027_6.jpg, predicted:74.29, true:67.69
image:p22_0030_6.jpg, predicted:55.83, true:75.93
image:p23_0274_2.jpg, predicted:40.00, true:16.67
image:p23_0275_10.jpg, predicted:28.00, true:12.50
image:p23_0276_11.jpg, predicted:53.33, true:29.03
image:p23_0278_5.jpg, predicted:26.89, true:0.00
image:p23_0278_7.jpg, predicted:18.00, true:0.00
image:p23_0278_8.jpg, predicted:22.50, true:42.11
image:p23_0278_9.jpg, predicted:24.44, true:0.00
image:p23_0280_11.jpg, predicted:31.11, true:33.33
image:p23_0284_9.jpg, predicted:24.44, true:0.00
image:p23_0286_7.jpg, predicted:28.00, true:2.56
image:p23_0287_10.jpg, predicted:25.00, true:5.00
image:p23_0288_1.jpg, predicted:51.00, true:14.55
image:p23_0288_11.jpg, predicted:64.29, true:11.11
image:p23_0288_2.jpg, predicted:38.00, true:7.41
image:p23_0288_9.jpg, predicted:56.00, true:16.67
image:p2_0183_8.jpg, predicted:29.47, true:14.29
image:p2_0184_6.jpg, predicted:39.53, true:30.17
image:p2_0191_1.jpg, predicted:24.84, true:19.88
image:p2_0198_2.jpg, predicted:26.00, true:18.56
image:p2_0200_3.jpg, predicted:31.11, true:36.96
image:p2_0204_8.jpg, predicted:49.12, true:27.94
image:p2_0206_2.jpg, predicted:41.05, true:18.29
image:p2_0206_7.jpg, predicted:18.67, true:8.97
image:p2_0208_11.jpg, predicted:37.14, true:51.35
image:p2_0214_8.jpg, predicted:20.29, true:10.00
image:p2_0219_3.jpg, predicted:18.67, true:9.22
image:p2_0219_4.jpg, predicted:18.67, true:7.24
image:p2_0230_4.jpg, predicted:19.31, true:24.44
image:p2_0232_3.jpg, predicted:32.08, true:22.30
image:p2_0235_5.jpg, predicted:30.95, true:34.58
image:p2_0236_6.jpg, predicted:20.74, true:8.80
image:p2_0237_3.jpg, predicted:39.00, true:44.83
image:p2_0237_4.jpg, predicted:43.33, true:80.00
image:p2_0239_5.jpg, predicted:28.00, true:45.10
image:p2_0243_3.jpg, predicted:21.33, true:13.13
image:p2_0248_3.jpg, predicted:62.40, true:57.14
image:p2_0255_8.jpg, predicted:43.33, true:37.07
image:p2_0259_2.jpg, predicted:29.47, true:25.00
image:p2_0268_2.jpg, predicted:24.44, true:41.18
image:p2_0269_3.jpg, predicted:29.47, true:39.39
image:p2_0286_10.jpg, predicted:22.50, true:17.14
image:p2_0290_1.jpg, predicted:4.76, true:16.67
image:p2_0294_6.jpg, predicted:28.00, true:13.43
image:p2_0301_3.jpg, predicted:22.50, true:7.41
image:p2_0307_6.jpg, predicted:15.00, true:0.00
image:p3_0217_5.jpg, predicted:36.96, true:5.71
image:p3_0220_6.jpg, predicted:28.00, true:30.30
image:p3_0224_1.jpg, predicted:24.35, true:17.65
image:p3_0235_5.jpg, predicted:28.00, true:37.50
image:p3_0241_10.jpg, predicted:5.88, true:9.88
image:p3_0242_6.jpg, predicted:10.00, true:0.69
image:p3_0242_9.jpg, predicted:4.76, true:3.03
image:p3_0245_3.jpg, predicted:16.67, true:8.33
image:p3_0247_8.jpg, predicted:16.67, true:7.62
image:p3_0253_6.jpg, predicted:56.00, true:20.00
image:p3_0261_6.jpg, predicted:10.00, true:4.71
image:p3_0262_5.jpg, predicted:31.11, true:20.00
image:p3_0264_7.jpg, predicted:22.50, true:15.91
image:p3_0268_10.jpg, predicted:32.00, true:20.25
image:p3_0274_2.jpg, predicted:20.00, true:13.79
image:p3_0277_7.jpg, predicted:20.74, true:8.46
image:p3_0283_3.jpg, predicted:31.11, true:30.23
image:p4_0046_5.jpg, predicted:28.00, true:22.58
image:p4_0050_11.jpg, predicted:51.32, true:0.00
image:p4_0052_11.jpg, predicted:31.11, true:46.43
image:p4_0055_11.jpg, predicted:41.56, true:50.00
image:p4_0061_2.jpg, predicted:20.29, true:16.67
image:p4_0065_3.jpg, predicted:31.11, true:20.69
image:p4_0066_7.jpg, predicted:39.00, true:35.42
image:p4_0069_3.jpg, predicted:39.00, true:36.96
image:p4_0071_7.jpg, predicted:40.00, true:37.04
image:p4_0074_6.jpg, predicted:24.44, true:42.11
image:p4_0076_1.jpg, predicted:31.11, true:34.38
image:p4_0080_10.jpg, predicted:41.46, true:34.62
image:p4_0081_5.jpg, predicted:31.11, true:22.03
image:p4_0081_6.jpg, predicted:20.74, true:16.07
image:p4_0083_10.jpg, predicted:31.11, true:40.91
image:p4_0086_8.jpg, predicted:29.47, true:52.17
image:p4_0089_10.jpg, predicted:22.00, true:8.20
image:p4_0097_11.jpg, predicted:29.47, true:40.00
image:p4_0135_1.jpg, predicted:32.00, true:32.69
image:p4_0139_6.jpg, predicted:33.33, true:35.85
image:p4_0143_10.jpg, predicted:42.86, true:43.86
image:p4_0144_6.jpg, predicted:39.53, true:47.06
image:p4_0147_9.jpg, predicted:47.27, true:44.59
image:p4_0159_8.jpg, predicted:22.00, true:11.32
image:p4_0161_3.jpg, predicted:22.00, true:13.46
image:p4_0161_6.jpg, predicted:28.00, true:12.50
image:p4_0169_5.jpg, predicted:24.44, true:20.41
image:p4_0176_2.jpg, predicted:28.00, true:12.20
image:p4_0176_9.jpg, predicted:33.33, true:40.91
image:p4_0179_9.jpg, predicted:33.33, true:32.00
image:p4_0181_3.jpg, predicted:28.00, true:31.25
image:p4_0187_1.jpg, predicted:31.11, true:39.13
image:p4_0193_9.jpg, predicted:39.00, true:29.82
image:p4_0197_11.jpg, predicted:33.33, true:25.42
